13: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 20 -N 500 -M 0.1 -L 0.1 ', timeTakenToBuildModel=32.14, timeTakenToTestModelOnTrainingData=273.68, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
12: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 20 -N 500 -M 0.1 -L 0.1 ', timeTakenToBuildModel=31.47, timeTakenToTestModelOnTrainingData=281.73, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
17: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 30 -N 500 -M 0.1 -L 0.1 ', timeTakenToBuildModel=31.81, timeTakenToTestModelOnTrainingData=280.35, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
18: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 10 -N 700 -M 0.1 -L 0.1 ', timeTakenToBuildModel=40.34, timeTakenToTestModelOnTrainingData=378.48, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
19: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 10 -N 700 -M 0.1 -L 0.1 ', timeTakenToBuildModel=43.48, timeTakenToTestModelOnTrainingData=385.93, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
28: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 10 -N 300 -M 0.2 -L 0.1 ', timeTakenToBuildModel=18.96, timeTakenToTestModelOnTrainingData=157.46, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
27: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 10 -N 300 -M 0.2 -L 0.1 ', timeTakenToBuildModel=14.02, timeTakenToTestModelOnTrainingData=168.15, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
20: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 10 -N 700 -M 0.1 -L 0.1 ', timeTakenToBuildModel=43.59, timeTakenToTestModelOnTrainingData=377.73, timeTakenToPerformCrossValidation=0.08, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
21: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 20 -N 700 -M 0.1 -L 0.1 ', timeTakenToBuildModel=43.02, timeTakenToTestModelOnTrainingData=386.22, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
29: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 10 -N 300 -M 0.2 -L 0.1 ', timeTakenToBuildModel=19.03, timeTakenToTestModelOnTrainingData=159.66, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
30: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 20 -N 300 -M 0.2 -L 0.1 ', timeTakenToBuildModel=18.61, timeTakenToTestModelOnTrainingData=162.8, timeTakenToPerformCrossValidation=0.12, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
31: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 20 -N 300 -M 0.2 -L 0.1 ', timeTakenToBuildModel=17.18, timeTakenToTestModelOnTrainingData=164.09, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
32: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 20 -N 300 -M 0.2 -L 0.1 ', timeTakenToBuildModel=18.46, timeTakenToTestModelOnTrainingData=161.28, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
23: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 20 -N 700 -M 0.1 -L 0.1 ', timeTakenToBuildModel=38.37, timeTakenToTestModelOnTrainingData=364.04, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
22: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 20 -N 700 -M 0.1 -L 0.1 ', timeTakenToBuildModel=43.32, timeTakenToTestModelOnTrainingData=367.63, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
26: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 30 -N 700 -M 0.1 -L 0.1 ', timeTakenToBuildModel=42.53, timeTakenToTestModelOnTrainingData=369.11, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
25: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 30 -N 700 -M 0.1 -L 0.1 ', timeTakenToBuildModel=38.5, timeTakenToTestModelOnTrainingData=381.17, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
24: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 30 -N 700 -M 0.1 -L 0.1 ', timeTakenToBuildModel=43.92, timeTakenToTestModelOnTrainingData=380.1, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
33: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 30 -N 300 -M 0.2 -L 0.1 ', timeTakenToBuildModel=16.51, timeTakenToTestModelOnTrainingData=163.82, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
