J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -B -A -S -N 3 -M 5 -Q 3 ', timeTakenToBuildModel=0.03, timeTakenToTestModelOnTrainingData=0.32, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -B -A -N 3 -M 5 -Q 3 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.31, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -B -N 3 -M 5 -Q 3 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.28, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -B -S -N 3 -M 5 -Q 3 ', timeTakenToBuildModel=0.03, timeTakenToTestModelOnTrainingData=0.3, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -J -A -N 3 -M 5 -Q 4 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.27, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -J -S -N 3 -M 5 -Q 4 ', timeTakenToBuildModel=0.03, timeTakenToTestModelOnTrainingData=0.24, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -J -A -S -N 3 -M 5 -Q 4 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.28, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -A -N 3 -M 5 -Q 4 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.25, timeTakenToPerformCrossValidation=0.03, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -A -S -N 3 -M 5 -Q 4 ', timeTakenToBuildModel=0.03, timeTakenToTestModelOnTrainingData=0.26, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
J48EvaluationMetrics{numberOfLeaves=8, sizeOfTree=15, title='J48 pruned tree', classifierOptions='Options: -R -O -B -J -N 3 -M 5 -Q 4 ', timeTakenToBuildModel=0.02, timeTakenToTestModelOnTrainingData=0.27, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8114, correctlyClassifiedInstancesPercentage=99.8769, incorrectlyClassifiedInstances=10, incorrectlyClassifiedInstancesPercentage=0.1231, kappaStatistic=0.9975}
