title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 300 -C 0.001 -S 1 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=15.31, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-3 -E 500 -C 0.001 -S 1 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=28.11, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-3 -E 500 -C 0.001 -S 4 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=28.52, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-3 -E 700 -C 0.001 -S 3 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=39.96, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-5 -E 700 -C 0.001 -S 4 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=40.16, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 700 -C 0.001 -S 1 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=30.82, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 700 -C 0.001 -S 3 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=26.15, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-3 -E 300 -C 0.001 -S 3 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=15.52, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-5 -E 300 -C 0.001 -S 1 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=15.08, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-3 -E 500 -C 0.001 -S 3 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=28.21, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-4 -E 500 -C 0.001 -S 3 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=29.24, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-4 -E 500 -C 0.001 -S 2 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=32.27, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-4 -E 500 -C 0.001 -S 4 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=28.49, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 500 -C 0.001 -S 3 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=28.39, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 500 -C 0.001 -S 2 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=29.16, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-3 -E 700 -C 0.001 -S 2 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=40.01, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-4 -E 700 -C 0.001 -S 1 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=39.66, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-5 -E 700 -C 0.001 -S 1 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=39.73, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-4 -E 700 -C 0.001 -S 3 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=40.64, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-4 -E 700 -C 0.001 -S 3 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=34.27, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 700 -C 0.001 -S 4 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=24.98, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-5 -E 500 -C 0.001 -S 1 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=31.94, timeTakenToPerformCrossValidation=0.07, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-4 -E 500 -C 0.001 -S 3 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=28.53, timeTakenToPerformCrossValidation=0.07, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 700 -C 0.001 -S 2 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=27.52, timeTakenToPerformCrossValidation=0.07, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
